Cow_ID,Day,Milk_Temperature,Milk_pH,Milk_Conductivity,Somatic_Cell_Count,Milk_Yield,Clotting,class1
C0400,29,35.39,6.49,4.63,160,24.2,0,0
C0401,9,34.91,6.77,5.12,226,20.1,0,0
C0402,4,34.6,6.73,4.95,115,21.0,0,0
C0403,1,35.77,6.7,4.96,119,22.4,0,0
C0404,4,35.88,6.8,4.41,115,17.8,0,0
C0405,1,35.21,6.56,4.68,179,20.2,0,0
C0406,14,34.2,6.82,4.61,168,20.4,0,0
C0407,21,37.81,7.11,5.98,611,8.3,1,1
C0408,16,35.7,6.63,4.81,113,27.0,0,0
C0409,20,34.76,6.76,4.54,154,15.8,0,0
C0410,24,35.59,6.54,4.9,87,16.1,0,0
C0411,8,35.49,6.57,4.38,156,23.9,0,0
C0412,7,35.79,6.59,5.22,185,22.1,0,0
C0413,3,35.56,6.6,4.43,100,16.9,0,0
C0414,17,38.57,7.18,6.34,559,9.4,0,1
C0415,1,36.1,6.77,4.94,213,24.4,0,0
C0416,16,35.42,6.62,4.53,126,19.9,0,0
C0417,12,35.49,6.69,4.96,195,27.8,0,0
C0418,27,37.37,7.23,6.65,591,10.1,1,1
C0419,19,35.28,6.47,5.14,144,22.1,0,0
C0420,22,35.06,6.68,4.7,168,23.5,0,0
C0421,23,35.41,6.46,4.52,115,22.7,0,0
C0422,22,36.36,6.64,4.61,155,19.4,0,0
C0423,14,34.81,6.51,4.94,135,19.1,0,0
C0424,30,38.08,7.02,6.77,740,11.4,1,1
C0425,6,36.24,6.74,4.48,163,22.4,0,0
C0426,6,35.4,6.66,4.63,139,21.8,0,0
C0427,13,35.17,6.78,4.35,144,23.1,0,0
C0428,19,36.02,6.57,5.25,102,16.9,0,0
C0429,22,35.2,6.7,4.53,214,19.3,0,0
C0430,8,36.41,6.67,4.95,185,17.2,0,0
C0431,27,35.84,6.68,4.76,189,18.8,0,0
C0432,27,35.26,6.78,4.4,138,23.0,0,0
C0433,2,36.58,6.72,4.7,81,20.3,0,0
C0434,21,35.2,6.68,4.94,228,27.8,0,0
C0435,30,35.87,6.48,4.64,148,20.6,0,0
C0436,1,35.65,6.55,5.06,120,20.2,0,0
C0437,28,36.15,6.64,5.01,167,20.3,0,0
C0438,15,36.28,6.66,4.98,197,18.1,0,0
C0439,1,37.79,7.12,6.13,597,7.6,1,1
C0440,5,38.29,7.23,5.71,593,8.6,1,1
C0441,28,35.73,6.8,4.52,193,20.3,0,0
C0442,29,35.16,6.71,4.76,107,17.6,0,0
C0443,16,36.51,6.66,4.86,123,17.2,0,0
C0444,19,35.57,6.63,4.05,188,18.6,0,0
C0445,4,35.32,6.55,4.7,41,20.2,0,0
C0446,3,35.59,6.66,4.75,144,23.6,0,0
C0447,17,34.83,6.68,4.62,93,16.0,0,0
C0448,17,35.01,6.53,5.09,131,19.0,0,0
C0449,12,36.1,6.68,4.83,138,20.4,0,0
C0450,28,35.17,6.63,5.09,136,14.5,0,0
C0451,30,34.98,6.46,4.64,128,17.5,0,0
C0452,29,35.77,6.56,4.98,106,18.0,0,0
C0453,14,36.09,6.61,5.19,242,17.6,0,0
C0454,21,35.86,6.84,5.09,225,20.6,0,0
C0455,6,36.0,6.71,4.37,104,19.5,0,0
C0456,3,35.12,6.52,4.62,213,18.3,0,0
C0457,28,34.79,6.7,4.6,134,21.3,0,0
C0458,9,36.25,6.5,4.85,155,25.2,0,0
C0459,5,35.34,6.76,4.91,147,24.9,0,0
C0460,24,35.37,6.6,4.45,124,14.2,0,0
C0461,29,36.16,6.64,4.72,189,21.7,0,0
C0462,17,38.3,7.14,6.54,604,10.2,1,1
C0463,14,38.44,7.01,6.42,705,9.4,1,1
C0464,21,36.58,6.51,4.55,98,18.8,0,0
C0465,3,35.18,6.59,4.72,114,20.4,0,0
C0466,28,35.96,6.75,4.61,84,20.5,0,0
C0467,1,35.53,6.5,5.04,150,18.3,0,0
C0468,20,37.97,7.09,5.81,498,10.5,1,1
C0469,29,36.26,6.6,4.7,139,18.7,0,0
C0470,21,35.75,6.71,4.67,205,20.7,0,0
C0471,23,35.77,6.77,4.56,198,21.8,0,0
C0472,1,36.04,6.6,5.22,149,22.6,0,0
C0473,3,35.32,6.61,4.43,147,18.5,0,0
C0474,18,35.08,6.77,4.93,225,20.9,0,0
C0475,25,34.98,6.46,4.81,171,22.9,0,0
C0476,10,38.66,7.22,7.13,648,9.4,0,1
C0477,22,38.71,6.98,7.28,637,8.3,1,1
C0478,26,34.95,6.69,4.48,166,19.3,0,0
C0479,3,35.39,6.6,5.03,183,20.6,0,0
C0480,8,35.36,6.65,4.83,125,16.6,0,0
C0481,14,35.65,6.4,4.24,162,19.4,0,0
C0482,24,35.91,6.58,4.54,135,22.2,0,0
C0483,18,35.93,6.7,4.82,143,21.9,0,0
C0484,15,35.21,6.55,4.95,50,19.2,0,0
C0485,22,35.42,6.66,4.5,141,20.7,0,0
C0486,23,35.64,6.69,3.83,189,17.5,0,0
C0487,2,35.38,6.62,4.86,125,22.1,0,0
C0488,27,37.52,7.14,7.39,488,6.7,1,1
C0489,10,35.75,6.55,4.09,120,19.2,0,0
C0490,2,35.87,6.63,3.85,164,18.9,0,0
C0491,26,38.05,7.04,6.5,692,12.2,1,1
C0492,17,36.09,6.67,4.74,112,18.7,0,0
C0493,8,38.99,7.2,6.37,655,11.3,1,1
C0494,1,34.85,6.67,5.12,187,18.8,0,0
C0495,9,35.7,6.72,4.89,126,24.8,0,0
C0496,11,35.17,6.45,5.18,170,24.4,0,0
C0497,22,35.24,6.77,4.28,171,17.3,0,0
C0498,16,35.79,6.62,4.69,176,20.2,0,0
C0499,7,36.12,6.69,4.21,82,18.0,0,0
C0500,29,35.51,6.77,4.63,190,19.0,0,0
C0501,10,35.65,6.51,4.63,127,26.0,0,0
C0502,23,38.76,7.15,6.86,648,10.1,0,1
C0503,26,37.27,7.23,7.65,726,10.1,1,1
C0504,3,36.8,6.57,4.89,162,21.6,0,0
C0505,18,35.78,6.82,4.91,135,17.0,0,0
C0506,25,34.62,6.56,5.35,62,17.4,0,0
C0507,24,35.88,6.59,4.61,206,16.4,0,0
C0508,13,37.79,7.16,6.66,597,12.3,1,1
C0509,28,36.14,6.53,4.77,110,11.4,0,0
C0510,26,35.84,6.61,4.46,137,21.6,0,0
C0511,7,35.43,6.68,5.14,207,26.2,0,0
C0512,25,34.89,6.62,4.62,181,20.4,0,0
C0513,4,35.4,6.64,4.53,144,15.8,0,0
C0514,13,37.46,7.08,6.43,614,12.3,1,1
C0515,20,35.21,6.5,4.92,126,18.6,0,0
C0516,1,35.79,6.68,4.65,156,16.9,0,0
C0517,8,36.33,6.83,4.51,153,22.6,0,0
C0518,14,38.16,7.27,6.92,575,7.6,1,1
C0519,16,37.75,7.11,6.64,793,9.8,1,1
C0520,14,35.72,6.72,4.71,170,22.2,0,0
C0521,12,36.1,6.52,4.9,136,24.6,0,0
C0522,19,35.2,6.82,4.21,180,25.7,0,0
C0523,23,35.43,6.67,4.84,146,28.6,0,0
C0524,15,38.02,6.95,6.55,742,11.4,1,1
C0525,28,35.11,6.58,4.95,134,28.5,0,0
C0526,2,35.82,6.83,4.41,153,18.9,0,0
C0527,2,35.44,6.73,4.91,186,18.2,0,0
C0528,23,35.71,6.71,5.03,143,21.0,0,0
C0529,22,35.06,6.67,4.96,102,18.3,0,0
C0530,19,35.28,6.63,4.78,152,21.2,0,0
C0531,25,35.86,6.77,4.63,155,16.0,0,0
C0532,26,35.31,6.66,4.53,157,19.3,0,0
C0533,30,36.36,6.45,5.14,187,23.9,0,0
C0534,29,35.3,6.54,4.49,191,19.8,0,0
C0535,22,35.61,6.63,4.39,126,20.4,0,0
C0536,26,35.97,6.68,4.9,125,21.4,0,0
C0537,26,34.79,6.64,4.46,108,23.5,0,0
C0538,22,34.62,6.77,4.41,178,15.0,0,0
C0539,17,34.74,6.45,4.27,208,21.8,0,0
C0540,20,36.13,6.66,4.56,137,19.2,0,0
C0541,10,35.22,6.47,4.68,140,20.5,0,0
C0542,6,38.49,7.16,7.31,801,9.4,1,1
C0543,15,35.22,6.64,4.99,170,16.4,0,0
C0544,22,35.59,6.69,4.86,167,17.0,0,0
C0545,11,36.27,6.56,4.64,102,14.2,0,0
C0546,28,36.5,6.78,4.64,177,18.4,0,0
C0547,5,36.53,6.75,4.85,113,24.0,0,0
C0548,1,36.1,6.71,5.08,105,19.6,0,0
C0549,8,36.01,6.64,4.74,136,16.0,0,0
C0550,21,35.8,6.71,4.56,127,18.5,0,0
C0551,28,35.89,6.58,4.4,141,15.5,0,0
C0552,12,35.22,6.74,4.27,92,16.6,0,0
C0553,12,35.09,6.81,4.9,188,21.2,0,0
C0554,5,35.5,6.76,4.87,195,16.5,0,0
C0555,7,35.41,6.58,4.87,72,23.3,0,0
C0556,4,35.27,6.69,4.66,189,19.8,0,0
C0557,6,35.85,6.52,5.12,118,20.3,0,0
C0558,13,35.98,6.71,4.55,184,19.2,0,0
C0559,20,35.54,6.7,4.99,147,22.3,0,0
C0560,30,38.44,7.03,6.73,642,7.3,1,1
C0561,15,34.93,6.53,4.52,143,21.0,0,0
C0562,3,35.4,6.62,4.88,198,21.7,0,0
C0563,23,35.14,6.62,4.82,100,19.4,0,0
C0564,8,34.57,6.53,4.81,174,21.6,0,0
C0565,20,35.46,6.69,4.72,194,19.0,0,0
C0566,16,35.44,6.68,4.69,179,20.0,0,0
C0567,13,38.42,7.09,7.05,810,10.3,0,1
C0568,18,35.82,6.57,5.06,129,18.6,0,0
C0569,28,37.72,7.19,6.18,499,10.0,1,1
C0570,10,36.43,6.82,4.73,146,21.4,0,0
C0571,30,36.11,6.6,5.0,199,23.9,0,0
C0572,19,35.79,6.59,4.86,150,23.5,0,0
C0573,17,38.23,7.07,7.18,543,9.6,1,1
C0574,24,35.02,6.61,4.61,202,23.9,0,0
C0575,19,38.0,7.07,6.37,761,8.7,1,1
C0576,28,36.04,6.72,3.75,93,21.8,0,0
C0577,26,36.44,6.46,4.76,129,17.3,0,0
C0578,23,37.81,7.15,6.81,675,10.8,1,1
C0579,26,35.26,6.66,5.18,206,20.9,0,0
C0580,5,34.94,6.61,4.71,154,15.5,0,0
C0581,26,35.57,6.64,4.34,203,21.8,0,0
C0582,21,37.96,7.25,6.43,578,8.7,1,1
C0583,30,37.24,7.19,7.46,671,9.6,1,1
C0584,23,35.43,6.8,4.84,138,24.1,0,0
C0585,9,35.27,6.65,4.79,145,19.4,0,0
C0586,12,38.29,7.14,8.05,662,7.7,1,1
C0587,21,35.76,6.75,4.46,178,13.3,0,0
C0588,1,35.23,6.55,4.71,132,27.3,0,0
C0589,26,38.0,7.07,6.18,537,12.0,0,1
C0590,26,34.06,6.62,4.91,148,19.1,0,0
C0591,1,35.49,6.73,4.86,113,14.1,0,0
C0592,15,36.39,6.44,4.85,145,20.9,0,0
C0593,2,38.25,7.04,7.41,604,9.3,0,1
C0594,30,37.74,6.86,6.7,398,10.8,0,1
C0595,22,36.92,7.06,6.62,637,13.1,1,1
C0596,16,35.73,6.7,4.61,153,17.2,0,0
C0597,25,37.76,7.15,7.82,671,8.8,1,1
C0598,8,37.57,7.14,7.03,282,8.5,1,1
C0599,13,35.88,6.64,4.44,103,22.9,0,0
C0600,21,37.8,6.97,7.46,511,8.4,0,1
C0601,1,35.45,6.73,5.03,261,15.8,0,0
C0602,16,35.4,6.61,4.62,108,22.9,0,0
C0603,29,35.06,6.36,4.63,96,19.2,0,0
C0604,7,35.09,6.61,4.58,179,15.8,0,0
C0605,5,35.39,6.55,4.54,67,24.1,0,0
C0606,22,35.68,6.49,4.79,141,26.3,0,0
C0607,29,35.96,6.53,4.25,236,19.9,0,0
C0608,23,35.1,6.66,5.08,88,26.5,0,0
C0609,3,36.25,6.78,4.5,71,20.3,0,0
C0610,12,35.36,6.68,4.92,90,18.9,0,0
C0611,26,35.49,6.59,4.32,186,18.1,0,0
C0612,16,35.13,6.7,4.9,195,24.9,0,0
C0613,19,34.29,6.6,4.9,129,17.7,0,0
C0614,5,35.94,6.58,4.82,177,22.2,0,0
C0615,22,37.69,7.04,6.82,511,8.9,1,1
C0616,25,35.36,6.47,4.77,221,18.6,0,0
C0617,29,35.53,6.61,4.35,140,23.1,0,0
C0618,14,35.76,6.67,4.62,58,18.9,0,0
C0619,28,37.44,7.3,6.94,730,9.1,0,1
C0620,5,35.24,6.61,4.94,133,23.4,0,0
C0621,15,37.92,7.06,6.8,542,8.2,1,1
C0622,17,34.87,6.71,4.41,142,21.9,0,0
C0623,30,38.08,7.13,6.63,580,7.4,1,1
C0624,14,34.82,6.73,4.71,201,18.5,0,0
C0625,30,38.56,7.14,6.31,765,11.9,1,1
C0626,20,35.48,6.57,4.93,194,21.0,0,0
C0627,5,34.69,6.5,4.69,164,17.0,0,0
C0628,12,36.08,6.6,5.06,153,22.2,0,0
C0629,16,35.13,6.75,4.37,186,20.3,0,0
C0630,26,35.09,6.7,3.75,153,14.9,0,0
C0631,26,37.52,7.24,7.75,638,7.5,1,1
C0632,16,37.52,7.26,7.31,557,10.9,1,1
C0633,21,34.99,6.54,4.19,129,19.8,0,0
C0634,7,35.53,6.62,4.41,145,25.7,0,0
C0635,4,35.71,6.57,5.53,168,20.7,0,0
C0636,1,35.85,6.78,4.61,201,17.5,0,0
C0637,30,35.59,6.53,4.92,149,20.7,0,0
C0638,30,35.32,6.74,4.5,93,18.9,0,0
C0639,5,35.09,6.74,4.07,184,21.0,0,0
C0640,23,35.54,6.83,4.65,180,21.7,0,0
C0641,26,34.96,6.61,4.62,72,23.6,0,0
C0642,10,34.04,6.72,4.58,150,19.9,0,0
C0643,22,35.72,6.88,4.67,86,24.9,0,0
C0644,5,35.95,6.59,4.78,123,22.7,0,0
C0645,4,37.96,6.89,7.36,690,6.7,1,1
C0646,2,35.0,6.46,4.32,182,26.6,0,0
C0647,20,35.81,6.72,4.85,155,21.0,0,0
C0648,10,36.53,6.46,4.12,99,17.5,0,0
C0649,26,35.51,6.61,4.08,185,25.0,0,0
C0650,19,38.03,7.14,7.03,422,11.4,0,1
C0651,26,35.41,6.67,4.85,163,19.9,0,0
C0652,1,36.19,6.69,4.68,117,18.5,0,0
C0653,24,35.18,6.67,4.28,135,19.5,0,0
C0654,5,37.86,7.15,7.29,499,10.3,0,1
C0655,13,38.84,6.96,7.01,391,9.8,1,1
C0656,4,35.02,6.58,4.22,203,21.7,0,0
C0657,16,35.56,6.57,4.48,147,20.3,0,0
C0658,24,36.31,6.73,4.9,162,24.5,0,0
C0659,16,38.41,7.05,7.25,448,10.0,1,1
C0660,23,35.37,6.7,4.57,157,23.1,0,0
C0661,2,38.41,7.1,7.13,884,9.3,1,1
C0662,17,34.72,6.53,4.13,146,21.3,0,0
C0663,28,35.94,6.82,4.9,78,19.7,0,0
C0664,27,35.46,6.8,4.46,163,19.8,0,0
C0665,20,35.41,6.72,4.79,165,18.9,0,0
C0666,24,37.1,6.83,4.63,123,24.0,0,0
C0667,12,35.65,6.48,5.1,99,17.8,0,0
C0668,18,35.12,6.6,4.44,209,17.8,0,0
C0669,3,35.29,6.58,4.89,170,26.4,0,0
C0670,28,36.07,6.72,4.62,141,22.9,0,0
C0671,1,35.56,6.54,4.65,105,12.8,0,0
C0672,1,38.58,6.96,5.91,327,11.7,1,1
C0673,29,37.89,6.91,6.33,576,9.5,1,1
C0674,19,37.98,7.18,7.04,974,7.7,1,1
C0675,11,37.23,7.03,7.66,599,10.8,1,1
C0676,5,36.04,6.55,4.77,170,19.6,0,0
C0677,12,35.28,6.57,4.73,117,16.6,0,0
C0678,3,36.14,6.77,4.94,210,20.2,0,0
C0679,1,35.53,6.73,4.98,204,15.1,0,0
C0680,1,35.93,6.65,4.38,131,20.2,0,0
C0681,8,38.28,7.19,6.43,475,8.2,1,1
C0682,10,35.08,6.45,4.34,45,24.5,0,0
C0683,11,35.18,6.54,4.88,91,24.2,0,0
C0684,12,36.01,6.84,4.89,96,22.4,0,0
C0685,29,35.33,6.52,4.13,155,19.0,0,0
C0686,13,35.3,6.67,4.73,137,26.0,0,0
C0687,12,35.02,6.75,4.56,96,15.3,0,0
C0688,14,38.41,7.08,6.3,633,6.3,1,1
C0689,2,36.53,6.67,5.11,170,19.7,0,0
C0690,29,34.97,6.74,4.5,171,26.8,0,0
C0691,19,38.87,7.12,7.19,683,7.6,1,1
C0692,18,38.69,7.18,6.52,547,10.4,0,1
C0693,3,37.35,6.94,5.38,498,8.9,1,1
C0694,23,38.34,7.13,7.48,523,8.4,1,1
C0695,17,34.97,6.63,5.05,181,22.9,0,0
C0696,26,35.71,6.73,4.86,114,22.4,0,0
C0697,8,35.41,6.69,4.05,119,18.1,0,0
C0698,29,35.99,6.58,4.54,132,17.9,0,0
C0699,26,36.09,6.67,4.53,60,16.1,0,0
C0700,10,36.79,6.46,4.84,163,20.3,0,0
C0701,26,35.79,6.71,3.91,139,16.8,0,0
C0702,30,35.66,6.68,5.46,189,16.5,0,0
C0703,2,35.6,6.71,4.86,106,18.7,0,0
C0704,19,35.32,6.76,4.74,125,18.5,0,0
C0705,9,35.67,6.69,5.05,90,18.4,0,0
C0706,7,35.35,6.66,5.4,110,21.4,0,0
C0707,4,37.71,7.25,7.31,590,9.4,1,1
C0708,26,36.16,6.58,4.98,190,19.1,0,0
C0709,21,35.0,6.77,4.74,122,20.5,0,0
C0710,18,36.07,6.79,4.66,155,17.0,0,0
C0711,13,38.04,7.17,6.77,838,9.6,1,1
C0712,11,35.44,6.65,4.45,99,20.5,0,0
C0713,29,34.44,6.56,4.49,143,15.5,0,0
C0714,24,35.2,6.77,4.29,174,23.0,0,0
C0715,4,36.15,6.72,4.68,102,17.4,0,0
C0716,25,38.44,7.04,6.08,521,11.5,0,1
C0717,21,35.0,6.56,4.76,116,23.5,0,0
C0718,29,35.25,6.61,4.69,131,22.8,0,0
C0719,25,38.34,6.98,5.93,622,9.1,1,1
C0720,4,37.9,7.21,7.47,500,6.3,1,1
C0721,10,35.38,6.63,5.62,152,22.8,0,0
C0722,5,39.18,7.03,6.82,628,9.2,1,1
C0723,9,35.3,6.74,4.33,155,18.1,0,0
C0724,24,35.04,6.72,4.77,55,17.6,0,0
C0725,3,36.31,6.56,4.52,77,13.8,0,0
C0726,17,35.34,6.79,4.4,175,20.5,0,0
C0727,3,36.11,6.77,4.3,191,19.8,0,0
C0728,16,38.73,6.9,7.47,592,6.6,1,1
C0729,4,37.33,7.06,6.98,590,10.1,1,1
C0730,18,35.28,6.71,4.99,162,24.0,0,0
C0731,17,37.7,7.16,6.32,507,4.7,1,1
C0732,7,35.49,6.65,5.11,69,23.4,0,0
C0733,24,35.05,6.43,4.44,115,18.4,0,0
C0734,23,35.66,6.74,4.84,137,22.3,0,0
C0735,30,34.91,6.49,4.89,178,15.6,0,0
C0736,5,38.43,7.08,6.05,473,9.9,1,1
C0737,12,37.81,7.19,7.43,729,9.7,1,1
C0738,17,35.6,6.63,5.18,94,19.2,0,0
C0739,23,35.64,6.59,4.77,166,21.3,0,0
C0740,13,35.37,6.62,4.89,203,18.4,0,0
C0741,23,35.79,6.79,4.45,154,16.8,0,0
C0742,25,37.66,7.24,5.93,523,10.1,1,1
C0743,3,35.94,6.78,4.53,188,19.7,0,0
C0744,9,34.83,6.68,4.66,177,18.5,0,0
C0745,30,35.56,6.53,4.38,109,20.1,0,0
C0746,17,36.47,6.54,4.7,165,27.9,0,0
C0747,17,35.0,6.82,4.19,190,23.5,0,0
C0748,30,35.16,6.56,4.36,197,23.5,0,0
C0749,20,35.76,6.53,4.9,147,21.3,0,0
C0750,16,35.59,6.76,4.88,136,20.5,0,0
C0751,25,38.29,6.95,6.79,521,8.8,0,1
C0752,22,35.74,6.56,4.39,102,18.0,0,0
C0753,13,35.82,6.67,4.39,168,18.6,0,0
C0754,27,37.69,7.19,6.5,641,9.3,1,1
C0755,19,35.7,6.76,4.89,193,16.5,0,0
C0756,17,37.59,7.12,5.76,235,7.5,1,1
C0757,4,35.84,6.7,4.55,201,19.9,0,0
C0758,12,36.45,6.69,4.35,170,22.5,0,0
C0759,29,35.43,6.83,4.78,101,23.3,0,0
C0760,9,35.01,6.65,4.45,207,21.2,0,0
C0761,19,36.05,6.53,4.54,212,17.1,0,0
C0762,12,35.44,6.69,5.1,185,14.2,0,0
C0763,9,34.41,6.86,4.95,120,14.7,0,0
C0764,7,35.92,6.55,4.75,138,16.2,0,0
C0765,28,35.23,6.61,4.32,156,17.3,0,0
C0766,14,38.16,7.06,6.59,785,9.9,1,1
C0767,20,38.04,7.08,7.03,489,12.5,1,1
C0768,19,36.89,6.91,6.67,749,8.0,1,1
C0769,26,35.85,6.76,5.11,42,19.3,0,0
C0770,15,35.28,6.88,5.09,164,20.0,0,0
C0771,16,35.76,6.67,5.2,136,23.4,0,0
C0772,21,35.37,6.56,4.79,147,16.5,0,0
C0773,5,35.87,6.5,4.88,135,21.3,0,0
C0774,3,35.81,6.68,5.12,182,20.0,0,0
C0775,12,35.03,6.76,4.83,195,19.0,0,0
C0776,25,36.04,6.7,4.55,161,22.7,0,0
C0777,20,35.23,6.65,4.57,136,22.6,0,0
C0778,27,35.9,6.59,4.77,148,17.2,0,0
C0779,21,35.68,6.54,4.31,151,19.5,0,0
C0780,4,37.43,7.27,6.77,543,9.3,1,1
C0781,21,35.39,6.74,5.03,173,19.2,0,0
C0782,23,35.33,6.5,4.04,168,21.8,0,0
C0783,16,35.49,6.81,5.16,212,20.8,0,0
C0784,25,35.35,6.71,5.04,200,25.5,0,0
C0785,7,35.9,6.79,4.56,123,15.4,0,0
C0786,13,34.69,6.52,4.86,183,19.6,0,0
C0787,21,34.97,6.51,4.7,112,17.3,0,0
C0788,10,34.97,6.64,5.07,178,21.8,0,0
C0789,26,35.98,6.7,4.99,129,15.1,0,0
C0790,7,36.36,6.83,4.28,109,21.0,0,0
C0791,14,37.65,7.16,6.97,528,11.8,1,1
C0792,26,35.42,6.63,4.64,43,17.8,0,0
C0793,5,35.54,6.55,4.72,80,15.7,0,0
C0794,3,37.85,7.13,6.07,491,9.7,1,1
C0795,23,35.04,6.55,5.22,153,23.3,0,0
C0796,29,35.62,6.81,5.01,135,19.9,0,0
C0797,11,35.99,6.62,4.48,87,21.9,0,0
C0798,11,35.75,6.81,4.3,117,25.0,0,0
C0799,18,38.51,7.05,6.79,492,9.7,1,1
C0800,15,36.0,6.64,4.83,173,18.3,0,0
